source_ref,status,source_document_id,source_title,source_url,source_sha256,clause_locator,source_page,authority_state
"NAMCARs 139.03.4","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.03.4","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.03.7","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.03.7","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.03.8","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.03.8","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.04","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.04","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.04.4","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.04.4","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.04.7","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.04.7","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.04.8","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.04.8","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.07","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.07","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.07.2","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.07.2","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.07.3","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.07.3","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.07.4","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.07.4","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.08.1","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.08.1","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.08.11","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.08.11","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.08.15","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.08.15","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.08.16","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.08.16","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.08.18","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.08.18","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.08.21","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.08.21","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.08.3","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.08.3","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.08.4","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.08.4","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.08.5","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.08.5","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.08.6","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.08.6","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.08.7","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.08.7","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.08.9","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.08.9","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.09","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.09","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.09.10","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.09.10","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.09.11","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.09.11","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.09.12","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.09.12","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.09.13","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.09.13","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.09.14","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.09.14","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.09.2","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.09.2","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.09.3","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.09.3","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.09.4","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.09.4","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.09.5","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.09.5","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.09.6","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.09.6","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.09.7","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.09.7","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.09.8","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.09.8","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.09.9","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.09.9","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.1","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.1","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.10","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.10","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.10.10","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.10.10","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.10.11","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.10.11","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.10.12","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.10.12","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.10.13","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.10.13","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.10.14","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.10.14","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.10.15","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.10.15","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.10.2","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.10.2","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.10.3","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.10.3","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.10.4","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.10.4","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.10.5","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.10.5","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.10.6","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.10.6","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
