form_code,document_title,form_kind,archive_path,archive_sha256,form_sha256,page_count,question_count,question_extraction_state,proposed_risk_band,proposed_risk_domain,form_source_refs,source_mapping_state,candidate_state,publication_state
"FSS-AGA-FORM-011","Checklist for the on-site verification of the aerodrome data","CHECKLIST","FSS-AGA-FORM-011.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:ce8daa720c90968857dbc172de07e0975a031bbcc0c91f27c345959174be6499","31","109","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.09.2 | NAMCARs 139.01.6 | NAMCARs 139.09.6 | NAMCARs 139.18 | NAMCARs 139.09.14 | NAMCARs 139.03 | NAMCARs 139.04 | NAMCARs 139.09.4 | NAMCARs 139.09.5 | NAMCARs 139.09.3 | NAMCARs 139.15.2 | NAMCARs 139.09.11 | NAMCARs 139.09.12 | NAMCARs 139.09.7 | NAMCARs 139.09.9 | NAMCARs 139.09.13 | NAMCARs 139.10.9 | NAMCARs 139.09.8 | NAMCARs 139.14","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-012","Check-list for the inspection of the physical characteristics of the aerodrome of an applicant for aerodrome certificate/license","FORM","FSS-AGA-FORM-012.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:5d858b6e9bae7aff4e354eec2e6606fce13c9c473bc7c59b17f00e02133fa035","35","82","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.10.2 | NAMCATS 139.10.2 | NAMCARs 139.10.3 | NAMCATS 139.10.3 | NAMCARs 139.10.4 | NAMCATS 139.10.4 | NAMCARs 139.10.5 | NAMCATS 139.10.5 | NAMCARs 139.10.6 | NAMCATS 139.10.6 | NAMCARs 139.10.7 | NAMCATS 139.10.7 | NAMCARs 139.10.8 | NAMCATS 139.10.8 | NAMCARs 139.10.9 | NAMCATS 139.10.9 | NAMCARs 139.10.10 | NAMCATS 139.10.10 | NAMCARs 139.10.11 | NAMCATS 139.10.11 | NAMCARs 139.10.12 | NAMCATS 139.10.12 | NAMCARs 139.10.13 | NAMCATS 139.10.13 | NAMCARs 139.10.14 | NAMCATS 139.10.14 | NAMCARs 139.10.15 | NAMCATS 139.10.15","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-013","Checklist for the inspection of the Obstacles Limitations Surfaces of the aerodrome of an applicant for aerodrome certificate/license","CHECKLIST","FSS-AGA-FORM-013.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:692d09a7aa680e091b93d493be9129e97da8cd6d95cb809241e37be42f273f2d","6","19","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","NAMCARs 139.11.3 | NAMCARs 139.11.4 | NAMCATS 139.11.4 | NAMCARs 139.11.6 | NAMCATS 139.11.6","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-014","Checklist for the inspection of the visual aids for navigation, of the aerodrome of an applicant for aerodrome certificate/license","CHECKLIST","FSS-AGA-FORM-014.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:315de19c3de88e6c4a8a71c9983faaaf981787eafd6d5f5ed281d1f6cdef689e","67","214","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","NAMCARs 139.12.3 | NAMCARs 139.12.4 | NAMCARs 139.12.5 | NAMCARs 139.12.6 | NAMCARs 139.01.13 | NAMCARs 139.12.7 | NAMCARs 139.12.8 | NAMCARs 139.12.9","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-015","Check-list for the inspection of electrical systems of the aerodrome of an applicant for aerodrome certificate/license","FORM","FSS-AGA-FORM-015.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:6c7fd35de3734daf86804c551f8d5db0e5a4475a26a52ab208264f1f840792da","9","19","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","NAMCARs 139.15.2 | NAMCARs 139.15.3 | NAMCARs 139.15.4","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-016","Check-list for the inspection of the apron management services of the aerodrome of an applicant for aerodrome certificate/license","FORM","FSS-AGA-FORM-016.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:bf82c88d4741bc8a80ea9b46ada52542e512100baf8cd3172b5cefa4e1684778","13","49","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.16.6 | NAMCARs 139.12.2 | NAMCARs 139.12.6 | NAMCARs 139.16.7 | NAMCARs 139.16.8","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-017","Check-list for the inspection of the rescue and fire-fighting services of the aerodrome of an applicant for aerodrome certificate/license","FORM","FSS-AGA-FORM-017.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:83f5c1a912b6a60b7beec2901f74ea41803b5def61607f978dfd03b945a70137","16","42","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","NAMCARs 139.16.3 | NAMCARs 139.17.2","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-018","Check-list for the inspection of the aerodrome maintenance of an applicant for an aerodrome certificate/license","FORM","FSS-AGA-FORM-018.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:052a3e808d1393b4eed996dba0e2f520303c07525bff7f263ca8076fa1fa83e8","19","59","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.17.2 | NAMCARs 139.17.1 | NAMCARs 139.09.10 | NAMCARs 139.17.3 | NAMCARs 139.17.4 | NAMCARs 139.17.5 | NAMCARs 139.17.6","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-019","Check-list for the initial/periodic assessment of the organizational capability of the holder of an aerodrome certificate/license","FORM","FSS-AGA-FORM-019.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:4c2e61451e5f9339ec5d140484967a10adc3f647161af7a053a6748a24381d94","8","29","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.08.3 | NAMCATS 139.08.3 | NAMCARs 140.03.1 | NAMCARs 140.03.2 | NAMCARs 139.08.4 | NAMCATS 139.08.4 | NAMCARs 139.10 | NAMCARs 139.11 | NAMCARs 139.12 | NAMCARs 139.15 | NAMCARs 139.16.10 | NAMCARs 139.07 | NAMCARs 139.08.6 | NAMCARs 139.08.7 | NAMCARs 139.16.2 | NAMCARs 139.16.3 | NAMCARs 139.08.15 | NAMCARs 139.08.18 | NAMCARs 139.09 | NAMCARs 139.08.11 | NAMCARs 139.08.9 | NAMCARs 139.01.12 | NAMCARs 139.16.6","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-020","Check-list for the initial/periodic assessment of the aerodrome manual of the holder of aerodrome certificate/license","FORM","FSS-AGA-FORM-020.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:2a7072fb43aa87901f529133fd2189bff466ee2443b61dee4526222f76c7ec93","6","19","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.07.2 | NAMCATS 139.07.2 | NAMCARs 139.07.4 | NAMCATS 139.07.4 | NAMCARs 139.07.3 | NAMCATS 139.07.3","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-021","Check-list for the initial/periodic assessment of the quality management system of a holder of an aerodrome certificate/license","FORM","FSS-AGA-FORM-021.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:42eca534abf7df8e5e53e00e944f22ec4156464de27621091276c91629852d47","4","13","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.08.5 | NAMCARs 139.08.4 | NAMCATS 139.08.4","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-022","Check-list for the initial/periodic assessment of the integrity of published data of a holder of an aerodrome or heliport license","FORM","FSS-AGA-FORM-022.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:f4aaf06084204e476c0345d1e4702bf755a87dd6ed1febef99f48daf04f1f88a","5","18","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.08.16 | NAMCARs 139.08.21 | NAMCARs 139.11.3 | NAMCARs 139.08.1 | NAMCARs 139.09.2 | NAMCARs 139.08.3","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-023","Check-list for the initial/periodic assessment of the aerodrome emergency planning of the holder of an aerodrome certificate/license","FORM","FSS-AGA-FORM-023.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:5c37764dcf5ebeef25a0942f99acc6e3ac35de9ee0d2140348162fb76a062c30","4","20","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","NAMCARs 139.07.2 | NAMCATS 139.07.2 | NAMCARs 139.16.2 | NAMCATS 139.16.2","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-024","Check-list for the initial/periodic assessment of the aerodrome environment management programme of the holder of an aerodrome certificate/license","FORM","FSS-AGA-FORM-024.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:610b15cd85156ee659eb84a62cf711311522524491750782641e71ebc7d629a0","4","17","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.08.15 | NAMCATS 139.08.15 | NAMCARs 139.16.5 | NAMCATS 139.16.5","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-025","Inspector skills assessment Inspector: Date: Skill area Specific tasks Done well 10 9 8 7 6 Needs improvement 5 4 3 2 1 Score 1. Approval of the use of a military aerodrome for civil aviation purposes a) Receivingandrecordingtheapplication b) Providefeedbacktoapplicantand guidanceon-siteinspection c) Prepareforsiteinspection/s. d) Carryoutsiteinspection/sandgenerate findingsandobservations. e) Reviewcorrectiveactionplansand approve/rejectthem. Providefeedbackto theapplicant. f) Prepareinspectionreportanddecideon issuanceofapprovalornot. g) Issueapprovalandprovidefeedbackto applicant. h) RecordingtheapprovalintheRegisterfor certificates/licensesandapprovals 2. Publication of restrictions and deviations a) Receivingandrecordingtheapplication/ report b) Prepareforsiteinspection/s. c) Carryoutsiteinspection/sandgenerate findingsandobservations. d) Reviewcorrectiveactionplansand approve/rejectthem. Providefeedbackto theapplicant/operator.","ADMINISTRATIVE_FORM","FSS-AGA-FORM-025.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:fa95117d2844052914df377069f226b29f7f20b5fddfde2c43cf56abd5841395","7","0","NO_PROTOCOL_QUESTION_BOUNDARY_DETECTED","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-026","Check-list for the flight operation assessment for the review of an application for the issuing of an aerodrome certificate/license or a license of intent","ADMINISTRATIVE_FORM","FSS-AGA-FORM-026.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:d372a218177bb4dee640d1121fdd4ea09a1b9de162b342ac88d5f17cd11d2bb5","4","0","NO_PROTOCOL_QUESTION_BOUNDARY_DETECTED","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.01.34 | NAMCARs 139.02.2 | NAMCARs 139.11.3 | NAMCATS 139.11.3 | NAMCARs 139.02.3 | NAMCARs 139.09.13 | NAMCATS 139.9.13 | NAMCARs 139.01.13 | NAMCARs 139.12.7 | NAMCATS 139.12.7 | NAMCARs 139.02.4","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-027","Checklist for cursory review of an application:","CHECKLIST","FSS-AGA-FORM-027.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:a9f9ef0d71827d68925853ee6f12a8092a7fe1b3e543676c6847f27429f2069b","5","23","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_CONTROL_ASSURANCE","GOVERNANCE_AND_RECORDS","NAMCARs 139.02.4 | NAMCARs 139.03.7 | NAMCARs 139.03.4 | NAMCARs 139.02.2 | NAMCARs 139.03.8 | NAMCARs 139.04.4 | NAMCARs 139.04.7 | NAMCARs 139.04.8","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-028","Check-list for review of the outcomes of the formal evaluation process of an application for the issuing of an aerodrome certificate/licence, amendment of aerodrome certificate/licence, renewal of an aerodrome certificate/licence, or issuing of a certificate of intent","ADMINISTRATIVE_FORM","FSS-AGA-FORM-028.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:9c21d4bf9e613c32eeb4ff27672c73b367939a31385dcae86cae747197b1cc81","3","8","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.02.4 | NAMCARs 139.03.4","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-029","Acknowledgment of receipt of application documents to be returned to the applicant","ADMINISTRATIVE_FORM","FSS-AGA-FORM-029.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:c1ff39293d09881ab15fa9dd74dc966eef5bdeccb036bb7600ead443b5fd21b4","2","0","NO_PROTOCOL_QUESTION_BOUNDARY_DETECTED","PROPOSED_CONTROL_ASSURANCE","GOVERNANCE_AND_RECORDS","","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-030","Check-list for the inspection of the visual aids for denoting obstacles, of the aerodrome of an applicant for aerodrome certificate/license","FORM","FSS-AGA-FORM-030.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:57d3b93a5df5edb67157fff27e8e0182f448be0c2ee1652bc89da5c4f769cdb6","6","17","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","NAMCARs 139.13.2","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-031","Check-list for the inspection of the visual aids for denoting restricted area, of the aerodrome of an applicant for aerodrome certificate/license","FORM","FSS-AGA-FORM-031.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:1da3f2b26bf63a53a1a8f187eff6dcd3ec453897c79472904a2652b1340537ec","3","5","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","NAMCARs 139.14.2","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-032","Application for erection of permanent structure within the vicinity of an aerodrome","ADMINISTRATIVE_FORM","FSS-AGA-FORM-032.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:cd242c3951112984df43b77f78afe35d7e159b305849ee57e9459ec9a7e305bc","2","0","NO_PROTOCOL_QUESTION_BOUNDARY_DETECTED","PROPOSED_CONTROL_ASSURANCE","GOVERNANCE_AND_RECORDS","NAMCARs 139.11.2","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-033","Application for the erection temporary structure within the vicinity of an aerodrome","ADMINISTRATIVE_FORM","FSS-AGA-FORM-033.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:e391252f735ab2baa960553968a6427b9aca6c88d1b843144f5fb5809be192a3","2","0","NO_PROTOCOL_QUESTION_BOUNDARY_DETECTED","PROPOSED_CONTROL_ASSURANCE","GOVERNANCE_AND_RECORDS","NAMCARs 139.11.2","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-034","Checklist for the assessment of the facilities required for night flights","CHECKLIST","FSS-AGA-FORM-034.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:652e080fed96793ca61b9f1ffc9b378625d2e7f1fc30913c9ab876714cca0618","5","16","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_REVIEW_REQUIRED","UNCLASSIFIED","NAMCARs 139.01.8 | NAMCARs 139.12.4 | NAMCATS 139.12.4 | NAMCARs 139.12.7 | NAMCATS 139.12.7 | NAMCARs 139.12.6 | NAMCATS 139.12.6 | NAMCARs 139.12.2 | NAMCATS 139.12.2 | NAMCARs 139.12.8 | NAMCATS 139.12.8","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
